2025-04-24 09:50:36.497240 | XAUUSDm | SELL | Entry: 3329.462 | SL: 3341.16 | TP: 3306.06
2025-04-24 09:55:36.728495 | XAUUSDm | SELL | Entry: 3331.347 | SL: 3342.93 | TP: 3308.19
2025-04-24 10:00:37.649534 | XAUUSDm | BUY | Entry: 3335.956 | SL: 3325.43 | TP: 3357.01
2025-04-24 10:05:40.549965 | XAUUSDm | BUY | Entry: 3333.845 | SL: 3325.43 | TP: 3350.68
2025-04-24 10:10:40.559486 | XAUUSDm | BUY | Entry: 3334.538 | SL: 3325.43 | TP: 3352.76
2025-04-24 10:20:40.579114 | XAUUSDm | SELL | Entry: 3326.722 | SL: 3338.64 | TP: 3302.89
2025-04-24 10:25:43.989923 | XAUUSDm | SELL | Entry: 3330.153 | SL: 3342.08 | TP: 3306.3
2025-04-24 10:50:44.409254 | XAUUSDm | BUY | Entry: 3330.808 | SL: 3325.43 | TP: 3341.57
2025-04-24 10:55:46.978656 | XAUUSDm | BUY | Entry: 3333.14 | SL: 3325.43 | TP: 3348.56
2025-04-24 13:12:04.095198 | XAUUSDm | SELL | Entry: 3330.111 | SL: 3340.29 | TP: 3309.75
2025-04-24 13:17:07.121842 | XAUUSDm | SELL | Entry: 3328.229 | SL: 3337.6 | TP: 3309.49
2025-04-24 13:22:07.457662 | XAUUSDm | SELL | Entry: 3327.885 | SL: 3337.52 | TP: 3308.61
2025-04-24 13:27:07.734060 | XAUUSDm | SELL | Entry: 3331.404 | SL: 3341.27 | TP: 3311.67
2025-04-24 13:32:07.739074 | XAUUSDm | BUY | Entry: 3325.957 | SL: 3325.03 | TP: 3327.8
2025-04-24 13:37:10.737576 | XAUUSDm | BUY | Entry: 3321.823 | SL: 3321.04 | TP: 3323.39
2025-04-24 13:42:28.795360 | XAUUSDm | BUY | Entry: 3320.858 | SL: 3318.71 | TP: 3325.15
2025-04-24 13:47:33.392227 | XAUUSDm | SELL | Entry: 3319.836 | SL: 3330.84 | TP: 3297.82
2025-04-24 13:52:37.547480 | XAUUSDm | SELL | Entry: 3314.147 | SL: 3325.46 | TP: 3291.52
2025-04-24 13:57:38.052778 | XAUUSDm | SELL | Entry: 3316.162 | SL: 3327.56 | TP: 3293.37
2025-04-24 14:07:38.664465 | XAUUSDm | SELL | Entry: 3308.098 | SL: 3320.23 | TP: 3283.84
2025-04-24 14:12:42.016124 | XAUUSDm | SELL | Entry: 3312.883 | SL: 3325.01 | TP: 3288.62
2025-04-24 14:27:42.035238 | XAUUSDm | BUY | Entry: 3318.566 | SL: 3306.74 | TP: 3342.22
2025-04-24 14:32:44.828070 | XAUUSDm | BUY | Entry: 3323.779 | SL: 3311.22 | TP: 3348.9
2025-04-24 14:37:45.102225 | XAUUSDm | BUY | Entry: 3317.623 | SL: 3306.74 | TP: 3339.39
2025-04-24 14:42:45.114799 | XAUUSDm | BUY | Entry: 3325.166 | SL: 3312.46 | TP: 3350.57
2025-04-24 14:47:45.524244 | XAUUSDm | BUY | Entry: 3328.416 | SL: 3315.88 | TP: 3353.48
2025-04-24 14:52:46.939353 | XAUUSDm | BUY | Entry: 3326.221 | SL: 3313.68 | TP: 3351.31
2025-04-24 14:57:47.215849 | XAUUSDm | BUY | Entry: 3328.089 | SL: 3315.41 | TP: 3353.45
2025-04-24 15:07:47.613265 | XAUUSDm | SELL | Entry: 3324.898 | SL: 3337.32 | TP: 3300.05
2025-04-24 15:13:02.832976 | XAUUSDm | SELL | Entry: 3326.511 | SL: 3338.93 | TP: 3301.66
2025-04-24 15:18:06.111962 | XAUUSDm | BUY | Entry: 3319.515 | SL: 3306.75 | TP: 3345.04
2025-04-24 15:23:08.964919 | XAUUSDm | BUY | Entry: 3321.208 | SL: 3308.44 | TP: 3346.74
2025-04-24 15:28:09.945954 | XAUUSDm | BUY | Entry: 3324.735 | SL: 3311.97 | TP: 3350.26
2025-04-24 15:33:18.164575 | XAUUSDm | BUY | Entry: 3328.367 | SL: 3315.66 | TP: 3353.78
2025-04-24 15:38:21.013614 | XAUUSDm | BUY | Entry: 3325.118 | SL: 3312.31 | TP: 3350.74
2025-04-24 15:43:26.875401 | XAUUSDm | BUY | Entry: 3324.591 | SL: 3311.78 | TP: 3350.21
2025-04-24 15:48:29.647472 | XAUUSDm | SELL | Entry: 3322.245 | SL: 3333.51 | TP: 3299.71
