2025-07-01 20:01:52.225083 | BTCUSDm | BUY | Entry: 105423.52 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:04:00.113425 | BTCUSDm | SELL | Entry: 105353.52 | TP: 105233.52 | SL: None | Lot: 0.01
2025-07-01 20:04:00.441370 | BTCUSDm | SELL | Entry: 105364.5 | TP: 105233.52 | SL: None | Lot: 0.01
2025-07-01 20:04:03.264776 | BTCUSDm | BUY | Entry: 105424.5 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:04:36.968982 | BTCUSDm | SELL | Entry: 105353.52 | TP: 105233.52 | SL: None | Lot: 0.01
2025-07-01 20:04:38.205102 | BTCUSDm | SELL | Entry: 105440.2 | TP: 105233.52 | SL: None | Lot: 0.01
2025-07-01 20:04:40.519172 | BTCUSDm | BUY | Entry: 105500.2 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:06:00.431771 | BTCUSDm | BUY | Entry: 105535.93 | TP: 105655.93 | SL: None | Lot: 0.01
2025-07-01 20:06:00.942765 | BTCUSDm | BUY | Entry: 105559.58 | TP: 105655.93 | SL: None | Lot: 0.01
2025-07-01 20:06:03.411884 | BTCUSDm | SELL | Entry: 105499.58 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:09:00.604052 | BTCUSDm | BUY | Entry: 105513.79 | TP: 105633.79 | SL: None | Lot: 0.01
2025-07-01 20:09:00.935231 | BTCUSDm | BUY | Entry: 105534.66 | TP: 105633.79 | SL: None | Lot: 0.01
2025-07-01 20:09:03.686582 | BTCUSDm | SELL | Entry: 105474.66 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:12:01.280053 | BTCUSDm | BUY | Entry: 105632.71 | TP: 105752.71 | SL: None | Lot: 0.01
2025-07-01 20:12:02.077161 | BTCUSDm | BUY | Entry: 105618.45 | TP: 105752.71 | SL: None | Lot: 0.01
2025-07-01 20:12:04.404161 | BTCUSDm | SELL | Entry: 105558.45 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:12:37.497130 | BTCUSDm | BUY | Entry: 105632.71 | TP: 105752.71 | SL: None | Lot: 0.01
2025-07-01 20:12:37.824134 | BTCUSDm | BUY | Entry: 105581.09 | TP: 105752.71 | SL: None | Lot: 0.01
2025-07-01 20:12:40.325334 | BTCUSDm | SELL | Entry: 105521.09 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:14:00.436273 | BTCUSDm | SELL | Entry: 105466.68 | TP: 105346.68 | SL: None | Lot: 0.01
2025-07-01 20:14:01.441276 | BTCUSDm | SELL | Entry: 105469.51 | TP: 105346.68 | SL: None | Lot: 0.01
2025-07-01 20:14:04.123565 | BTCUSDm | BUY | Entry: 105529.51 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:16:00.720074 | BTCUSDm | BUY | Entry: 105567.66 | TP: 105687.66 | SL: None | Lot: 0.01
